 SName   Trtime       RAsw    Desw    pe  T90   Flu  Flue  P1  Pe
140716A	10:27:57.3	108.133	-60.150	1.5	104	59	12	5.2	1.5
140713A	18:43:45	281.141	59.623	1.2	5.30	3.7	0.3	1.9	0.2
140710A	10:16:40	41.088	35.499	1.8	3.52	2.3	0.3	1.9	0.3
140709B	15:15:45	146.040	63.536	1.1	155.0	42	2	0.9	0.1
140709A	01:13:41	304.666	51.222	1.0	98.6	53	2	3.1	0.3
140706A	19:33:33	49.269	-38.058	1.1	48.3	20	1	1.8	0.2
140703A	00:37:17	13.010	45.102	1.6	67.1	39	3	2.8	0.6
140629A	14:17:30	249.017	41.897	1.8	42.0	24	2	4.2	0.4
140628A	13:35:37	40.672	-0.378	1.0	10.5	13	1	2.8	0.2
140626A	00:33:01	77.163	-82.625	1.5	16.4	3.6	0.5	0.7	0.1
140622A	09:36:04	317.153	-14.412	2.5	0.13	0.27	0.05	0.6	0.2
140619A	11:38:35	27.096	-39.249	1.8	233.9	210	4	4.6	0.2
140614C	20:06:56	147.423	71.945	3	NA	1.6	0.5	NA	NA
140614B	06:38:11	322.636	14.895	2.1	49.8	5.5	1.0	0.5	0.2
140614A	01:04:59	231.171	-79.110	2.4	720	13	4	NA	NA
140611A	03:51:04	349.939	-40.111	4	1.9	NA	NA	NA	NA
140610A	16:31:29	286.261	3.899	1.0	NA	NA	NA	1.4	0.2
140607A	17:13:31	86.373	18.904	1.9	109.9	22	3	0.9	0.4
140606A	10:58:13	201.799	37.599	2.4	0.34	0.51	0.10	0.5	0.1
140529A	09:28:06	228.810	-41.042	1.2	4.5	22	1	11.5	0.7
140521A	17:34:18	320.177	67.587	1.1	9.88	9.5	0.6	1.9	0.2
140518A	09:17:46	227.231	42.396	1.8	60.5	10	1	1.0	0.1
140516A	20:30:54	252.972	39.958	2.6	0.19	0.23	0.06	0.5	0.1
140515A	09:12:36	186.071	15.099	1.2	23.4	5.9	0.6	0.9	0.1
140512A	19:31:49	289.366	-15.087	1.1	154.8	140	3	6.8	0.3
140509A	02:22:13	46.564	-62.662	1.9	23.20	12	2	1.6	0.4
140506A	21:07:36	276.806	-55.556	1.6	111.1	28	3	10.9	0.9
140502A	08:30:20	319.172	48.975	1.2	16.9	6.7	0.5	0.9	0.1
140430A	20:33:36	102.942	23.033	1.0	173.6	11	2	2.5	0.2
140428A	22:40:50	194.365	28.331	2.2	17.42	3.4	0.6	0.6	0.2
140423A	08:31:53	197.276	49.838	1.0	134	94	3	2.1	0.2
140419A	04:06:51	127.001	46.234	1.0	94.7	160	0	4.9	0.2
140414A	06:06:29	195.310	56.902	4	0.7	1.22	0.10	NA	NA
140413A	00:09:40	65.439	-51.188	1.3	139.6	94	5	2.3	0.5
140412A	22:20:49	145.032	-65.826	1.7	39.6	7.2	0.8	1.1	0.2
140408A	13:15:54	290.723	-12.585	1.9	4.00	3.1	0.5	1.2	0.3
140402A	00:10:06	207.592	5.971	2.8	0.031	0.38	0.12	NA	NA
140331A	05:49:48	134.860	2.755	3.2	209	6.7	1.3	0.31	0.13
140323A	10:23:11	356.975	-79.916	1.0	104.9	160	0	6.2	0.7
140320A	02:12:45	281.843	-11.188	2.4	0.45	0.49	0.10	0.6	0.2
140318A	00:09:07	184.049	20.225	2.1	8.43	2.9	0.5	0.5	0.2
140311B	21:14:29	252.333	52.733	1.2	70	NA	NA	NA	NA
140311A	21:05:16	209.293	0.607	3.8	71.4	23	3	1.3	0.5
140305A	15:00:20	344.497	15.448	1.7	13.7	4.7	0.7	1.0	0.2
140304A	13:22:31	30.653	33.480	1.0	15.6	12	1	1.7	0.2
140302A	08:12:58	253.862	-12.875	1.1	87.5	27	1	1.7	0.2
140301A	15:24:49	69.521	-34.249	1.9	31.0	4.4	0.8	0.7	0.2
140215A	04:07:10	104.129	41.787	1.1	84.2	78	3	7.9	0.7
140213A	19:21:37	105.166	-73.136	1.0	60.0	120	0	23.5	0.8
140211A	12:23:03	124.233	20.237	1.4	89.4	18	1	0.7	0.2
140209A	07:30:57	81.328	32.488	1.0	21.3	41	2	38.1	1.1
140206A	07:17:20	145.321	66.762	1.0	93.6	160	3	19.4	0.5
140129B	12:51:09	326.764	26.215	2.1	1.36	0.71	0.14	0.9	0.2
140129A	03:23:59	37.851	-1.594	2.2	2.99	1.3	0.3	0.9	0.2
140118A	01:32:02	330.999	-17.937	1.5	84.15	26	2	1.9	0.3
140114A	11:57:40	188.498	27.942	1.9	139.7	32	1	0.9	0.1
140108A	17:18:42	325.129	58.749	1.0	94	70	2	6.1	0.3
140103A	00:30:43	232.114	37.752	1.7	17.3	6.0	0.7	2.1	0.3
140102A	21:17:37	211.915	1.332	1.0	65	77	2	29.8	0.6
131229A	06:39:24	85.236	-4.401	1.0	13.86	66	1	10.7	0.3
131227A	04:44:51	67.369	28.879	1.3	18.0	8.4	0.6	1.1	0.2
131226A	05:47:39	301.309	-64.943	1.0	7.20	40	1	10.4	0.4
131224B	03:25:08	163.722	-14.177	3	 9	2.6	0.3	NA	NA
131205A	09:18:38	131.573	-60.181	2.8	37.5	2.9	0.7	0.6	0.1
131202A	15:12:09	344.005	-21.650	2.6	30.4	6.1	1.0	0.7	0.2
131128A	15:06:24	355.305	31.293	1.6	3.00	3.2	0.4	2.7	0.3
131127A	10:11:35	332.714	36.596	1.8	92.1	19	2	1.3	0.2
131120A	14:37:56	278.937	-12.026	3.0	131	5.7	1.5	0.5	0.2
131117A	00:34:04	332.354	-31.761	1.8	11.00	2.5	0.4	0.7	0.1
131110A	11:53:11	69.268	-17.259	0.8	 100	35.3	1.0	NA	NA
131105A	02:04:44	70.973	-63.005	1.5	112.3	71	5	3.5	0.6
131103A	22:07:25	348.948	-44.645	1.8	17.3	8.2	1.0	1.5	0.3
131031A	11:33:31	29.618	-1.603	4	NA	NA	NA	NA	NA
131030A	20:56:18	345.074	-5.380	1.0	41.1	290	0	28.1	0.7
131024B	21:35:31	144.464	44.284	2.1	64.00	12	2	0.1	0.1
131024A	12:26:20	290.544	-64.599	2.0	112.00	12	1	0.3	0.1
131018A	12:47:48	98.473	-19.897	1.3	73.22	11	1	0.5	0.1
131004A	21:41:03	296.108	-2.952	1.1	1.54	2.8	0.2	3.4	0.2
131002B	10:54:28	75.135	-75.701	1.2	39.10	6.2	0.6	0.6	0.1
131002A	06:54:21	253.103	82.036	3.9	55.59	6.4	0.8	1.3	0.1
131001A	05:37:24	8.304	25.557	1.6	4.9	4.9	0.6	2.57	0.25
130929A	09:36:33	135.028	-47.554	1.6	11.10	6.9	0.8	1.7	0.3
130925A	04:11:24	41.186	-26.146	1.0	NA	410	10	7.3	0.6
130919A	11:07:24	207.281	-10.353	1.6	97.3	14	2	0.5	0.1
130913A	00:28:21	341.960	1.294	3.3	NA	1.3	0.4	NA	NA
130912A	08:34:57	47.606	13.999	1.6	0.28	1.7	0.2	2.2	0.3
130907A	21:41:13	215.898	45.602	1.0	NA	1400	10	25.6	0.5
130831B	13:48:19	192.454	-29.187	2.1	37.8	14	2	2.4	0.5
130831A	13:04:16	358.635	29.431	1.0	32.5	65	0.2	13.6	0.6
130829A	05:43:33	182.426	46.520	1.3	42.56	12	1	0.6	0.1
130822A	15:54:17	27.940	-3.219	3	NA	NA	NA	NA	NA
130816B	04:53:38	170.049	-57.527	1.6	10.00	2.7	0.4	0.9	0.1
130816A	01:46:55	197.093	-58.996	2.6	29.97	4.3	1.0	1.5	0.2
130812A	22:22:52	92.387	-13.285	1.0	7.6	5.9	0.3	2.8	0.2
130807A	10:25:43	269.801	-27.616	1.7	NA	12	2	0.4	0.1
130806A	02:51:33	35.907	67.525	1.6	6.1	1.7	0.2	1.3	0.1
130803A	10:02:52	220.256	-2.499	1.1	44	15	1	5.1	0.4
130727A	16:45:19.52	330.790	-65.540	1.0	13.57	38	1	7.0	0.3
130725B	17:39:28	214.233	-11.124	1.2	10.0	3.9	0.4	2.2	0.2
130725A	11:37:11	230.060	0.624	2.5	101.8	9.7	1.7	0.6	0.2
130722A	08:19:19	260.670	-2.979	3	NA	NA	NA	NA	NA
130719A	05:47:49	89.038	-11.591	1.9	177.7	23	2	0.6	0.2
130716A	10:36:53	179.581	63.057	2.5	NA	NA	NA	NA	NA
130708A	11:43:03.7	17.474	0.003	2.4	9	78	18	NA	NA
130701A	04:17:43	357.224	36.100	1.0	4.38	44	1	17.1	0.7
130627B	12:00:50	181.914	-55.706	1.8	28.6	6.1	0.8	0.8	0.2
130627A	08:55:03	184.415	-37.114	2.8	30.8	9.1	1.9	1.8	0.5
130626A	10:51:03	273.128	-9.525	1.8	0.16	0.52	0.08	0.9	0.2
130625A	07:00:39	343.336	82.171	1.3	38.1	18	1	1.2	0.2
130623A	11:42:44.7	20.723	-77.784	4	15	5.4	1.1	1.4	0.3
130615A	09:44:45	274.963	-68.161	2.9	304	21	3	0.7	0.2
130612A	03:22:22	259.771	16.729	2.0	4.0	2.3	0.5	1.7	0.3
130610A	03:12:13	224.414	28.187	2.4	46.4	25	1	1.7	0.2
130609B	21:38:40	53.776	-40.168	1.0	210.6	160	0	8.5	0.4
130609A	03:05:08	152.680	24.124	1.2	7.0	5.7	0.4	1.8	0.2
130608A	23:14:21	24.597	41.492	2.5	151.38	9.0	1.9	0.6	0.3
130606A	21:04:39	249.390	29.796	2.0	276.58	29	2	2.6	0.2
130605A	23:41:42	134.536	-33.477	1.7	12.6	26	3	4.1	0.9
130604A	06:54:26	250.166	68.225	1.1	37.7	14	1	0.8	0.2
130603B	15:49:14	172.222	17.063	1.0	0.18	6.3	0.3	6.4	0.3
130603A	05:59:32	86.859	82.910	1.6	76	19	1	0.8	0.1
130529A	11:15:25	24.274	-64.143	1.9	128	14	2	0.5	0.1
130528A	16:41:23	139.405	87.300	1.0	59.4	51	2	3.0	0.2
130527A	14:21:30	309.282	-24.726	1.1	44	120	4	20.1	1.4
130521A	22:49:16	87.568	14.470	1.6	11.0	4.2	0.5	1.9	0.2
130518B	10:50:38	321.555	-20.148	1.8	NA	8.0	NA	NA	NA
130518A	13:55:07.4	355.671	47.478	2.9	NA	NA	NA	NA	NA
130515A	01:21:17	283.436	-54.283	1.6	0.29	1.5	0.2	1.4	0.2
130514A	07:13:41	296.278	-7.974	1.0	204	91	2	2.8	0.3
130511A	11:30:47	196.654	18.709	2.3	5.43	2.2	0.4	1.3	0.2
130508A	17:08:53	305.351	34.966	2.2	42	6.6	1.0	0.7	0.2
130505A	08:22:28	137.060	17.485	1.5	88	210	10	30.0	3.1
130504A	02:05:34	272.459	-16.320	1.7	50	10	1	0.9	0.2
130502A	17:50:30	138.579	-0.134	1.8	3.0	3.8	0.4	2.9	0.3
130427B	13:20:41	314.900	-22.548	1.4	27.0	15	1	3.0	0.4
130427A	07:47:57	173.150	27.706	1.0	162.83	3100	30	331.0	4.6
130420B	12:56:31	183.095	54.376	1.1	10.2	6.0	0.5	1.4	0.1
130420A	07:28:29	196.118	59.421	1.0	123.5	71	3	3.4	0.2
130419A	13:30:29	355.278	9.900	2.6	75.7	7.8	1.4	0.3	0.2
130418A	19:00:53	149.045	13.674	1.9	NA	18	2	0.6	0.2
130408A	21:51:38	134.398	-32.363	2.2	28	23	4	4.9	1.0
130327A	01:47:34	91.984	55.732	2.2	9.0	2.3	0.5	0.9	0.2
130315A	12:45:32	157.541	-51.794	1.3	233.4	49	2	1.0	0.2
130313A	16:08:11	236.438	-0.355	2.6	0.26	0.31	0.07	0.5	0.1
130306A	23:51:01	279.475	-11.682	1.6	NA	NA	NA	7.3	0.8
130305A	11:39:16	116.774	52.037	1.8	NA	48	18	NA	NA
130216B	18:58:12	58.866	2.036	1.5	3.7	13	3	7.4	0.6
130216A	22:15:24	67.901	14.670	1.0	6.5	30	1	6.5	0.3
130215A	01:31:30	43.486	13.387	1.5	65.7	54	5	2.5	0.7
130211A	03:36:32	147.524	-42.330	2.1	25.1	6.4	1.0	0.7	0.2
130206A	19:36:28	140.387	-58.193	1.9	128.0	20	2	0.3	0.2
130131B	19:10:08	173.957	15.033	1.7	4.30	3.4	0.4	1.0	0.2
130131A	13:56:22	171.091	48.064	2.1	51.6	3.1	0.6	0.7	0.1
130122A	23:44:09	194.307	59.003	3.0	64	7.4	1.1	0.4	0.1
130102A	18:10:53	311.435	49.838	2.3	77.5	7.2	0.9	0.4	0.1
121229A	05:00:21	190.095	-50.588	2.8	NA	4.6	1.3	0.1	0.0
121226A	19:09:43	168.620	-30.413	2.0	1.00	1.4	0.2	1.6	0.3
121217A	07:17:47	153.708	-62.354	1.0	778	62	3	1.8	0.1
121212A	06:56:13	177.787	78.052	2.1	6.8	1.2	0.3	0.7	0.1
121211A	13:47:02	195.575	30.173	4.9	182	13	2.67	1.0	0.3
121209A	21:59:11	326.800	-8.232	1.7	42.7	29	1	3.4	0.3
121202A	04:20:05	256.790	23.942	1.2	20.1	12	1	1.2	0.2
121201A	12:25:42	13.473	-42.929	2.3	85	7.8	1.0	0.8	0.1
121128A	05:05:37	300.589	54.301	1.0	23.3	69	4	12.9	0.4
121125A	08:32:27	228.519	55.318	1.2	52.2	47	1	2.9	0.2
121123A	10:02:41	307.334	-11.873	1.8	317	150	10	2.6	0.2
121117A	08:50:56	31.617	7.432	1.1	30	14	2	1.1	0.1
121108A	17:47:39	83.216	54.520	2.2	89	9.6	1.2	1.6	0.2
121102A	02:27:02	270.896	-16.951	1.0	24.7	19	1	2.3	0.2
121031A	22:50:30	170.772	-3.513	1.0	226	78	2	2.4	0.2
121028A	05:04:31	271.903	-2.298	1.5	3.8	3.7	0.4	1.9	0.3
121027A	07:32:29	63.598	-58.839	1.0	62.6	20	1	1.3	0.2
121024A	02:56:12	70.481	-12.255	1.7	69	11	1	1.3	0.2
121017A	19:23:28	288.820	-1.602	1.5	4.2	6.6	0.7	3.3	0.4
121014A	20:11:56	166.645	-29.105	2.0	80.0	11	1	0.3	0.2
121011A	11:15:30	260.204	41.123	1.8	75.6	27	7	1.2	0.3
121001A	18:23:02	276.029	-5.667	2.4	147	17	2	0.5	0.1
120927A	22:40:46	136.606	0.420	1.0	43	26	3	1.6	0.2
120923A	05:16:06	303.781	6.255	2.1	27.2	3.2	0.8	0.6	0.1
120922A	22:30:28	234.758	-20.181	1.2	173	62	7	2.0	0.2
120918A	11:16:10	181.042	-32.762	1.1	25.1	37	6	4.5	0.5
120913B	23:55:58	213.660	-14.508	1.0	126	111	2	3.2	0.2
120913A	20:18:21	146.400	26.959	1.2	30.1	8.7	0.8	2.3	0.2
120911A	07:08:33	357.966	63.090	1.6	17.8	11	1	2.7	0.3
120909A	01:42:03	275.735	-59.432	1.2	NA	68	2	1.8	0.3
120907A	00:24:23	74.736	-9.323	2.0	16.9	6.7	1.1	2.9	0.4
120819A	13:10:14	235.887	-7.304	2.9	71	14	2	0.8	0.3
120817B	04:02:29	8.310	-26.428	2.8	NA	1.7	0.4	NA	NA
120817A	06:49:42	250.692	-38.377	1.5	28.2	6.9	0.6	0.8	0.1
120816A	19:18:34	282.133	-6.981	2.5	7.6	4.3	1.0	2.1	0.5
120815A	02:13:58	273.976	-52.125	1.8	9.7	4.9	0.7	2.2	0.3
120811C	15:34:52	199.690	62.297	1.0	26.8	30	3	4.1	0.2
120811A	02:35:18	257.184	-22.735	2.6	166	11	1	1.0	0.1
120807A	07:09:37	241.273	-47.455	2.1	20.0	2.9	0.5	0.9	0.1
120805A	21:28:09	216.536	5.853	2.2	48.00	8.2	1.4	0.37	0.2
120804A	00:54:14	233.951	-28.768	1.0	0.81	8.8	0.5	10.8	0.6
120803B	11:06:06	314.223	53.298	1.0	37.5	25	5	1.5	0.2
120803A	07:22:16	269.531	-6.733	2.5	10.0	3.0	0.5	0.4	0.2
120802A	08:00:51	44.833	13.762	1.1	50	19	3	3.0	0.2
120729A	10:56:14	13.078	49.936	1.0	71.5	24	1	2.9	0.2
120728A	22:25:11	137.085	-54.437	1.4	22.06	24	2	2.4	0.5
120724A	06:39:02	245.193	3.535	2.1	72.8	6.8	1.1	0.6	0.2
120722A	12:53:26	230.489	13.249	3.4	42.4	12	2	1.0	0.3
120714B	21:18:46.57	355.412	-46.196	2.6	159	12	1	0.4	0.1
120714A	07:46:46	167.975	-30.625	1.6	16.2	8.2	0.9	1.5	0.3
120712A	13:42:27	169.598	-20.051	1.0	14.7	18	1	2.4	0.2
120711B	03:11:02.58	331.710	59.996	3.2	60	5.6	1.2	0.4	0.1
120703A	17:25:22	339.353	-29.726	1.0	25.2	35	1	10.5	0.4
120701A	NA	80.338	-58.531	1.3	13.8	14	1	1.6	0.2
120630A	NA	352.300	42.495	2.7	0.6	0.61	0.14	0.7	0.2
120624B	22:19:51	170.886	8.933	1.0	NA	283	4	5.5	0.2
120612A	02:05:19	126.723	-17.598	1.7	90	13	1	0.5	0.2
120521C	23:22:07	214.288	42.144	1.0	26.7	11	1	1.9	0.2
120521B	09:07:48	197.016	-52.742	1.6	31.4	15	1	0.9	0.2
120521A	05:59:42	148.692	-49.422	1.7	0.45	0.78	0.11	0.9	0.1
120514A	01:12:49	283.002	-4.258	1.1	164.4	28	2	1.9	0.2
120422A	07:12:03	136.915	13.974	2.0	5.35	2.3	0.4	0.6	0.2
120404A	12:51:02	235.002	12.883	1.2	38.7	16	1	1.2	0.2
120403B	20:33:56	54.302	-89.029	2.4	7.3	2.1	0.4	0.9	0.2
120403A	01:05:23	42.458	40.489	2.3	1.25	1.0	0.2	1.1	0.2
120401A	05:24:15	58.057	-17.658	2.5	NA	9.1	1.4	0.12	0.04
120328A	03:06:19	241.607	-39.322	1.8	24.2	4.7	0.6	0.7	0.1
120327A	02:55:16	246.854	-29.415	1.1	62.9	36	1	3.9	0.2
120326A	01:20:29	273.906	69.248	1.0	69.6	26	3	4.6	0.2
120324A	05:59:11	291.081	24.140	1.1	118	101	3	5.9	0.2
120320A	11:56:15	212.517	8.682	1.6	25.74	5.9	1.6	0.5	0.2
120312A	16:06:28	251.812	23.881	2.1	14.2	5.7	0.8	1.3	0.3
120311B	15:08:10	258.551	-13.068	1.3	28.2	10	1	1.5	0.2
120311A	05:33:38	273.075	14.297	1.1	3.5	3.0	0.3	3.2	0.2
120308A	06:13:38	219.123	79.674	1.3	60.6	12	1	06	0.1
120305A	19:37:30	47.549	28.495	1.0	0.10	2.0	0.1	2.2	0.2
120302A	01:55:39	122.426	29.642	2.3	NA	6.6	1.3	0.6	0.3
120229A	14:35:11	20.033	-35.796	1.9	0.22	0.41	0.07	0.5	0.1
120224A	04:39:56	40.937	-17.779	2.4	8.13	2.4	0.5	0.9	0.2
120219A	14:30:08	129.862	51.006	2.2	90.5	5.4	1.4	0.3	0.1
120218A	00:49:22	319.7641	-25.4626	1.9	27.5	53	4	9.1	1.2
120215A	00:41:15	30.057	8.790	2.3	26.5	4.0	0.6	0.6	0.1
120213A	00:27:19	300.987	65.413	1.0	48.9	19	1	1.7	0.1
120212A	09:11:22	43.086	-18.043	1.6	5.52	5.1	0.6	2.1	0.3
120211A	11:58:28	87.781	-24.795	2.1	61.7	8.1	1.2	0.5	0.2
120121A	09:42:19	249.363	-23.963	1.4	26.1	11	1	0.7	0.2
120119A	04:04:30.21	120.029	-9.076	1.0	253.8	170	0	10.3	0.3
120118B	17:00:21	124.862	-7.178	1.3	23.26	18	1	2.2	0.3
120116A	18:06:28	16.240	33.927	1.0	41.0	29	1	4.1	0.3
120114A	16:20:09	317.9043	57.0358	2.3	NA	NA	NA	NA	NA
120106A	14:16:24	66.129	64.050	1.3	61.6	9.7	1.1	1.5	0.2
120102A	02:15:55	276.224	24.713	1.0	38.7	43	1	10.3	0.4
111229A	22:37:52	76.561	-84.687	2.7	25.4	3.4	0.7	1.0	0.2
111228A	15:44:43	150.063	18.284	1.4	101.20	85	2	12.4	0.5
111225A	03:50:37	13.158	51.573	1.3	106.8	13	1.2	0.7	0.1
111215A	14:04:08	349.582	32.440	4.2	796	45	5	0.5	0.2
111212A	09:23:07	310.442	-68.585	1.8	NA	14	2	0.8	0.3
111210A	14:37:03	191.493	-7.173	1.7	2.52	1.6	0.2	1.0	0.1
111209A	07:12:08	14.350	-46.799	1.0	NA	360	10	0.5	0.1
111208A	08:28:11	290.2151	40.6686	2.2	NA	9.8	1.8	1.3	0.7
111207A	14:16:59	92.924	-39.504	NA	3	NA	NA	NA	NA
111204A	13:37:28	336.651	-31.414	2.2	48.0	4.7	0.9	0.3	0.2
111201A	14:22:45	190.4854	32.9935	2.1	NA	4.6	0.8	1.1	0.3
111129A	16:18:14	307.415	-52.722	2.3	7.6	1.8	0.4	0.9	0.2
111126A	18:57:42	276.057	51.461	3	0.8	0.7	0.2	NA	NA
111123A	18:13:21	154.845	-20.639	1.1	290.0	73	3	0.9	0.1
111121A	16:26:24	154.746	-46.670	1.1	119	22	2	7.1	0.3
111117A	12:13:41	12.702	23.021	NA	0.47	1.40	0.18	1.35	0.20
111109A	02:57:46	118.248	-41.588	1.9	13.0	2.4	0.4	0.5	0.1
111107A	00:50:24	129.487	-66.520	1.2	26.6	8.8	0.8	1.2	0.2
111103B	10:59:03	265.691	1.605	1.0	167	80	2	7.2	0.3
111103A	10:35:13	327.111	-10.532	1.1	11.6	14	1	3.1	0.3
111029A	09:44:40	44.785	57.101	1.2	7.6	3.9	0.4	1.5	0.2
111026A	06:47:29	244.256	-47.435	1.8	3.62	1.7	0.2	1.1	0.1
111022B	17:13:04	108.927	49.663	2.0	79.1	9.0	1.2	0.4	0.3
111022A	16:07:04	275.871	-23.666	1.0	24.7	20	1	2.5	0.2
111020A	06:33:49	287.029	-38.031	2.1	0.40	0.65	0.10	0.9	0.2
111018A	17:26:24	271.482	-3.880	2.0	36	4.0	0.7	0.4	0.1
111016A	18:37:04	153.826	27.474	2.2	550	40	3	0.9	0.2
111008A	22:12:58	60.439	-32.708	1.2	63.46	53	3	6.4	0.7
111005A	08:05:14	223.315	-19.722	2.1	26	6.2	1.1	1.1	0.3
110928A	01:51:31	257.745	36.547	2.3	26.7	6.9	1.1	0.9	0.3
110921A	13:51:20	294.094	36.355	1.7	48.00	24	2	0.2	0.4
110915A	13:20:44	310.830	-0.713	1.2	78.76	57	2	3.3	0.2
110827A	00:01:52	164.059	53.817	2.2	8.5	1.8	0.3	0.4	0.1
110820A	17:38:27	343.203	70.298	2.1	256	8.2	1.5	0.4	0.1
110818A	20:37:49	317.373	-63.981	1.4	103	40	2	1.6	0.3
110808A	06:18:54	57.322	-44.177	2.7	48	3.3	0.8	0.4	0.2
110801A	19:49:42	89.415	80.958	1.1	385	47	3	1.1	0.2
110731A	11:09:30	280.513	-28.536	1.0	38.8	60	1	11.0	0.3
110726A	01:30:40	286.713	56.070	1.7	5.2	2.2	0.3	1.0	0.2
110719A	06:09:11	24.570	34.578	1.8	41.0	18	2	1.3	0.3
110715A	13:13:50	237.665	-46.237	1.0	13.0	118	2	53.9	1.1
110709B	21:32:39	164.668	-23.470	1.1	55.6	94	2	3.4	0.3
110709A	15:24:29	238.895	40.918	1.0	44.7	100	2	6.2	0.2
110625A	21:08:28	286.751	6.755	1.3	44.5	280	10	49.5	2.4
110610A	15:21:32	308.205	74.827	1.0	46.4	49	1	4.2	0.2
110530A	15:31:02	282.045	61.953	2.3	19.6	3.3	0.5	0.4	0.1
110521A	15:51:31.4	120.132	45.818	1.8	13.8	4.4	0.5	0.5	0.1
110520A	20:28:48	134.363	56.418	1.1	15.7	11	1	1.1	0.2
110519A	02:12:16	261.638	-23.426	1.0	27.2	40	1	4.6	0.3
110503A	17:35:45	132.799	52.211	1.0	10.0	100	4	1.35	0.06
110422A	15:41:55	112.057	75.100	1.0	25.9	410	10	30.7	1.0
110420B	22:42:11	320.045	-41.277	2.2	0.084	0.53	0.11	0.7	0.2
110420A	11:02:24	2.164	-37.877	1.0	11.8	59	2	14.0	0.9
110414A	07:42:14	97.876	24.349	1.6	152.0	35	3	1.1	0.3
110412A	07:33:21	133.491	13.488	1.9	23.4	18	2	2.0	0.4
110411A	19:34:11	291.427	67.706	1.0	80.3	33	2	1.3	0.2
110407A	14:06:41	186.022	15.726	1.5	145	17	2	1.73	0.12
110402A	00:12:57	197.432	61.247	1.7	60.9	34	4	4.1	0.7
110319B	19:34:02	326.088	-56.774	1.0	14.5	10	1	1.25	0.15
110319A	02:16:41	356.510	-66.008	1.0	19.3	14	1	2.2	0.2
110318B	15:27:09	211.691	-51.577	1.7	4.8	2.9	0.3	0.7	0.1
110318A	13:14:19	338.292	-15.278	1.0	16.0	49	2	8.0	0.5
110315A	23:57:04	279.205	17.537	1.0	77	41	2	1.7	0.2
110312A	17:55:37	157.500	-5.259	2.3	28.7	8.2	1.3	1.2	0.3
110305A	06:38:01	260.877	-15.810	1.9	12.0	8.0	1.0	1.2	0.3
110223B	21:25:48	150.340	-68.329	2.0	54.0	6.1	0.8	0.6	0.1
110223A	20:56:59	345.386	87.586	2.5	7.0	1.6	0.4	0.6	0.2
110213A	05:17:29	42.978	49.278	1.4	48.0	59	4	1.6	0.6
110212A	01:09:08	69.025	43.716	1.4	3.3	2.4	0.3	1.5	0.2
110210A	09:52:41	13.108	7.778	3.2	233	9.6	1.9	0.3	0.1
110208A	21:10:46	22.487	-20.561	1.8	37.4	2.7	0.6	0.6	0.1
110207A	11:17:20	12.540	-10.790	1.3	80.3	16	1	1.1	0.1
110205A	02:02:41	164.603	67.533	2.2	257	170	0	3.6	0.2
110201A	09:35:08	137.489	88.610	1.3	13.0	7.0	0.5	1.1	0.1
110128A	01:44:33	193.871	28.108	2.3	30.7	7.2	1.4	0.8	0.2
110119A	22:20:58	348.589	5.982	1.5	208	70	2	2.2	0.1
110112A	04:12:18	329.936	26.470	2.6	0.5	0.30	0.09	0.5	0.2
110107A	21:15:51	299.890	41.889	3	NA	58	5	NA	NA
110106B	21:26:17	134.155	47.005	1.2	24.8	20	1	2.1	0.3
110106A	15:25:16	79.295	64.199	2.0	4.3	3.0	0.5	1.9	0.3
110102A	18:52:25	245.877	7.617	1.8	264	165	3	8.4	0.3
101225A	18:37:45	0.2037	44.5739	3.6	1088.0	19	4	NA	NA
101224A	05:27:13	285.939	45.706	2.1	0.2	0.58	0.11	0.7	0.2
101219B	16:27:53	12.259	-34.556	3.9	34	21	4	0.6	0.3
101219A	02:31:29	74.586	-2.527	1.0	0.6	4.6	0.3	4.1	0.2
101213A	10:49:23	241.297	21.905	1.1	135	50	2	2.2	0.4
101204A	23:53:29	167.548	-20.434	NA	NA	12	4	NA	NA
101201A	10:01:48	1.955	-16.196	2	NA	NA	NA	NA	NA
101129A	15:39:31	155.921	-17.645	3	0.35	 0.9	 0.5	NA	NA
101117B	19:13:23	172.991	-72.651	1.1	5.2	11	1	4.5	0.3
101114A	00:32:50	303.193	14.029	1.8	NA	8.0	0.8	1.8	0.3
101030A	15:56:29	166.390	-16.389	1.1	92.0	20	1	0.9	0.1
101024A	11:39:29.82	66.465	-77.261	1.1	18.7	15	1	5.5	0.2
101023A	22:50:12	317.949	-65.389	1.4	80.8	270	10	NA	NA
101020A	23:40:41	189.607	23.129	3.4	175.0	26	3	0.5	0.2
101017A	10:32:47	291.377	-35.141	1.0	70.0	180	10	9.4	0.4
101011A	16:58:35	48.274	-65.990	1.2	71.5	14	1	1.3	0.2
101008A	16:43:15	328.882	37.060	2.1	104	11	2	1.6	0.2
100928A	02:19:52	223.037	-28.542	2.3	3.3	3.5	0.6	2.5	0.5
100924A	03:58:08	0.672	7.004	1.0	96.0	83	3	1.5	0.3
100917A	05:03:25	289.250	-17.120	2.1	66	8.6	1.2	0.6	0.2
100915A	01:31:05	315.664	65.676	2.0	200	15	2	0.5	0.3
100906A	13:49:27	28.697	55.634	1.0	114.4	120	0	10.1	0.4
100905A	15:08:14	31.542	14.919	1.7	3.4	1.7	0.2	0.6	0.1
